East Coast Enduro Association,,,,Report Generated: 3/24/2026 1:21:54 PM,,,,
Round 3 - 3/22/2026 - Sandy Lane Enduro,,,,,,,,
Team Enduro Results,,,,,,,,
Row,Rider Name,Bike,Class,,Place (in Class),#Chks,Points,EPoints
1,DER - I,,,,Totals:,60,161,2887
13A,DOUG ALLEN II,KTM,A SR 40+,,2,12,25,475
59A,ANGELO RISPOLI,HUS,A 251+,,4,12,31,575
25A,ZACHARY PAGE,HUS,AA,,9,12,33,533
13E,BRIAN TURNER,BET,A 200,,1,12,35,616
13B,THOMAS RAIO,YAM,A 250,,7,12,37,688
2,SJER - CHECKERS,,,,Totals:,60,164,3062
9C,STEVE MASON JR,YAM,A VET 30+,,1,12,27,478
40C,DOMENIC RINALDI,KTM,A 251+,,6,12,32,628
25B,TROY DENISE,HUS,A 251+,,8,12,35,623
28C,TONY HODGSON,KTM,A SR 40+,,5,12,35,639
18E,MACGREGOR HENNAUT,KTM,B 251+,,2,12,35,694
3,CJCR - TEAM BOB,,,,Totals:,60,172,3287
31A,SEAN KOELLER,HUS,A 251+,,1,12,24,423
1C,AUSTIN CHAVOUS,KTM,A 251+,,9,12,35,665
1B,CHAD LOCH,KTM,A SR45+,,1,12,35,700
3B,GREG PRESTON,KTM,A SR45+,,2,12,37,720
2A,NATE MEILY,KTM,A 200,,2,12,41,779
4,TCSMC - HAMMER 1,,,,Totals:,60,175,3325
30A,KYLE MCDONAL,BET,AA,,1,12,19,309
5D,KYLE PLUMMER,BET,A 251+,,2,12,26,455
5E,DEVIN MACAVOY,KTM,A 251+,,3,12,27,447
39A,JOE CASTALDI,KTM,B 250,,3,12,45,920
39D,BRIAN EVANS,HUS,B SR 40+,,2,12,58,1194
5,CDR - KILLER BEES,,,,Totals:,60,176,3396
24A,JOSEPH FORD,KTM,AA,,6,12,30,555
33D,JOE SUMPTER,YAM,A SR 40+,,3,12,32,615
16C,JOSHUA PITTMAN,YAM,A 250,,2,12,32,618
24B,COLIN BLACK,KTM,B VET 30+,,1,12,38,746
33B,BRADLEY CAMP,YAM,B SR 40+,,1,12,44,862
6,RRMC - A,,,,Totals:,60,186,3476
21A,MAVERICK REINER,GAS,AA,,4,12,26,397
